OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Albumin,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,500,g,2/6/23,900,100,400,g,,0,g,0,g,,,100,300,,,,,,,,,,,,,,,,,,,
Alpha napthol,700,g,0,700,0,700,g,0,700,0,700,g,700,g,,,,,700,0,g,500,500,g,05/08/23,1197,500,0,g,,0,g,0,g,,,0,900,,,,,,,,,,,,,,,,,,,
Alum,1000,g,0,1000,0,1000,g,0,1000,0,1000,g,200,g,,,,,0,200,g,0,,,,,0,200,g,,0,g,0,g,,,100,100,,,,,,,,,,,,,,,,,,,
Aluminon,70,g,0,70,0,70,g,0,70,0,70,g,35,g,,,,,0,35,g,0,,,,,15,20,g,,0,g,0,g,,,0,20,,,,,,,,,,,,,,,,,,,
Aluminum chloride,0,g,250,250,0,250,g,0,250,0,250,g,100,g,,,,,0,100,g,0,,,,,20,80,g,,1000,g,1000,g,10/24/2023,DR: 2763,580,500,,,,,,,,,,,,,,,,,,,
Aluminum hydroxide,0,g,0,0,0,0,g,250,250,0,250,g,600,g,,,,,350,250,g,0,,,,,50,200,g,undelivered,1000,g,0,g,,,0,200,,,,,,,,,,,,,,,,,,,
Aluminum Metal,,,,,,,,,,,,,,,,,,,,0,g,0,,,,,0,50,g,,0,g,0,g,,,0,50,,,,,,,,,,,,,,,,,,,
Aluminum subacetate,50,g,0,50,0,50,g,0,50,50,0,g,100,g,,,,,0,100,g,0,,,,,50,50,g,,0,g,0,g,,,20,30,,,,,,,,,,,,,,,,,,,
Ammonium acetate,2700,g,0,2700,200,2500,g,0,2500,500,2000,g,750,g,,,,,0,750,g,0,,,,,100,650,g,,0,g,0,g,,,150,500,,,,,,,,,,,,,,,,,,,
Ammonium biphospate,1000,g,0,1000,300,700,g,0,700,700,0,g,100,g,,,,,0,100,g,0,,,,,0,100,g,undelivered,500,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Ammonium hydroxide,,,,,,,,,,,,,0,g,250,g,3-Aug,SI 20215,250,0,g,500,0,g,,,0,0,g,undelivered,1000,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Ammonium monophosphate,,,,,,,,,,,,,400,g,,,,,400,0,g,0,,,,,0,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
di-Ammonium phosphate,1000,g,0,1000,0,1000,g,0,1000,1000,0,g,500,g,500,g,2-Sep,SI 374,500,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Ammonium bromide,70,g,0,70,0,70,g,0,70,0,70,g,70,g,,,,,0,70,g,0,,,,,0,70,g,,0,g,0,g,,,0,70,,,,,,,,,,,,,,,,,,,
Ammonium carbonate,400,g,0,400,100,300,g,0,300,0,300,g,250,g,,,,,50,200,g,0,,,,,50,150,g,,1000,g,500,g,10/24/2023,DR: 2763,450,700,,,,,,,,,,,,,,,,,,,
Ammonium chloride,800,g,0,800,50,750,g,250,1000,250,750,g,500,g,,,,,0,500,g,0,,,,,120,380,g,,1000,g,1000,g,10/24/2023,DR: 2763,380,1000,,,,,,,,,,,,,,,,,,,
Ammonium iron sulfate (Hexahydrate),500,g,500,1000,0,1000,g,0,1000,0,1000,g,500,g,,,,,500,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Ammonium Molybdate Tetrahydrate,750,g,0,750,0,750,g,0,750,250,500,g,250,g,,,,,0,250,g,0,,,,,100,150,g,,0,g,0,g,,,0,150,,,,,,,,,,,,,,,,,,,
Ammonium oxalate,530,g,0,530,500,30,g,0,30,30,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Ammonium sulfate,0,g,0,0,0,0,g,500,500,20,480,g,400,g,,,,,400,0,g,0,,,,,0,0,g,,1000,g,500,g,10/24/2023,DR: 2763,100,900,,,,,,,,,,,,,,,,,,,
"Ammonium ferrous sulfate, hexahydrated",,,,,,,,,,,,,900,g,,,,,400,500,g,0,,,,,0,500,g,,500,g,500,g,10/24/2023,DR: 2763,500,500,,,,,,,,,,,,,,,,,,,
Ammonium sulfite,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Ammonium thiocyanate,3300,g,0,3300,800,2500,g,0,2500,100,2400,g,1500,g,,,,,0,1500,g,0,,,,,150,1350,g,,0,g,0,g,,,350,1000,,,,,,,,,,,,,,,,,,,
Amoxicillin powder,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Antimony chloride,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Antimony potassium tartrate,0,g,0,0,0,0,g,0,0,0,0,g,100,g,,,,,100,0,g,0,,,,,0,0,g,,500,g,500,g,10/24/2023,DR: 2763,0,600,,,,,,,,,,,,,,,,,,,
Arsenic trioxide,1150,g,0,1150,20,1130,g,0,1130,230,900,g,700,g,,,,,300,400,g,0,,,,,0,400,g,,0,g,0,g,,,0,400,,,,,,,,,,,,,,,,,,,
Ascorbic acid,1000,g,0,1000,0,1000,g,0,1000,0,1000,g,1150,g,,,,,0,1150,g,0,,,,,950,200,g,,0,g,0,g,,,100,100,,,,,,,,,,,,,,,,,,,
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,,,,,,,,,,,,,,,,,,,
Aspirin,1400,g,500,1900,350,1750,g,500,2250,750,1500,g,750,g,,,,,750,0,g,1000,0,g,,,0,0,g,,500,g,500,g,10/24/2023,DR: 2763,500,0,,,,,,,,,,,,,,,,,,,
Barium acetate,2900,g,0,2900,0,2900,g,0,2900,400,2500,g,750,g,,,,,0,750,g,0,,,,,150,600,g,,0,g,0,g,,,100,500,,,,,,,,,,,,,,,,,,,
Barium acetate Hi A.R.,,,,,,,,,,,,,500,g,,,,,500,0,g,0,,,,,0,0,g,,500,g,500,g,10/9/2023,DR: 2725,0,500,,,,,,,,,,,,,,,,,,,
Barium chloride,750,g,0,750,50,700,g,0,700,0,700,g,500,g,,,,,0,500,g,0,,,,,300,200,g,,0,g,0,g,,,100,100,,,,,,,,,,,,,,,,,,,
Barium hydroxide,,,,,,,,,,,,,,,,,,,,,g,0,,,,,550,450,g,,0,g,0,g,,,50,400,,,,,,,,,,,,,,,,,,,
Barium hydroxide octahydrate,1500,g,0,1500,0,1500,g,0,1500,1000,500,g,350,g,,,,,350,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Barium sulfate,1650,g,0,1650,0,1650,g,0,1650,150,1500,g,1050,g,,,,,200,850,g,0,,,,,200,650,g,,0,g,0,g,,,150,500,,,,,,,,,,,,,,,,,,,
Bentonite powder,1200,g,500,1700,100,1300,g,500,1800,100,1700,g,1250,g,,,,,1250,0,g,1000,1000,g,2/6/23,900,600,400,g,,0,g,0,g,,,100,300,,,,,,,,,,,,,,,,,,,
Benzalkonium chloride,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Benzamide,,,,,,0,g,0,0,0,0,g,125,g,,,,,0,125,g,0,,,,,125,0,g,,1000,g,500,g,10/9/2023,DR: 2725,0,500,,,,,,,,,,,,,,,,,,,
Benzidine,0,g,0,0,0,80,g,0,80,80,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Benzoic acid,1150,g,0,1150,50,1100,g,0,1100,100,1000,g,100,g,,,,,100,0,g,1000,500,g,2/6/23,900,100,400,g,,1000,g,1000,g,9/18/2023,DR: 2626,400,1000,,,,,,,,,,,,,,,,,,,
Bromocresol green,25,g,0,25,0,25,g,0,25,25,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Bromothymol blue,50,g,0,50,0,50,g,0,50,50,0,g,900,g,,,,,0,900,g,0,,,,,900,0,g,undelivered,25,g,0,g,,,0,500,,,,,,,,,,,,,,,,,,,
Beta-napthol,100,g,0,100,0,100,g,0,100,0,100,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,200,,,,,,,,,,,,,,,,,,,
Bismuth chloride,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Bismuth subnitrate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Blood Agar,800,g,0,800,300,500,g,500,1000,500,500,g,400,g,,,,,0,400,g,0,,,,,50,350,g,,0,g,0,g,,,150,200,,,,,,,,,,,,,,,,,,,
Boric acid,500,g,0,500,0,500,g,0,500,500,0,g,650,g,,,,,650,0,g,500,500,g,05/08/23,1197,0,500,g,,1000,g,1000,g,9/18/2023,DR: 2626,300,1200,,,,,,,,,,,,,,,,,,,
Bromophenol blue,12,g,0,12,0,12,g,0,12,12,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,25,g,5,g,,,0,0,,,,,,,,,,,,,,,,,,,
Cadmium chloride,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Cadmium acetate dihydrated,,,,,,,,,,,,g,200,g,,,,,75,125,g,0,,,,,25,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Cadmium acetate hydrated,0,g,125,125,0,125,g,250,375,50,325,g,90,g,,,,,0,90,g,0,,,,,10,80,g,,0,g,0,g,,,30,50,,,,,,,,,,,,,,,,,,,
Cadmium nitrate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Calamine powder,2000,g,0,2000,0,2000,g,0,2000,1000,1000,g,480,g,,,,,0,480,g,0,,,,,280,200,g,,0,g,0,g,,,100,100,,,,,,,,,,,,,,,,,,,
Calcium acetate,3000,g,0,3000,0,3000,g,0,3000,1000,2000,g,0,g,,,,,0,0,g,250,1000,g,2/6/23 - 5/8/23,901 / 1197,500,500,g,,0,g,0,g,,,150,350,,,,,,,,,,,,,,,,,,,
Calcium carbonate,1500,g,0,1500,0,1500,g,0,1500,0,1500,g,500,g,,,,,500,0,g,1500,1500,g,2/6/2023,900,1250,250,g,,500,g,500,g,9/18/2023,DR: 2626,150,600,,,,,,,,,,,,,,,,,,,
Calcium chloride,750,g,0,750,0,750,g,0,750,0,750,g,0,g,,,,,0,0,g,1500,1500,g,2/6/23,900,750,750,g,,250,g,250,g,9/18/2023,DR: 2626,200,800,,,,,,,,,,,,,,,,,,,
Calcium gluconate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,undelivered,500,g,500,g,,,0,0,,,,,,,,,,,,,,,,,,,
Calcium hydroxide,3700,g,0,3700,700,3000,g,0,3000,0,3000,g,2200,g,,,,,600,1600,g,0,,,,,400,1200,g,,0,g,0,g,,,200,1000,,,,,,,,,,,,,,,,,,,
Calcium hypochlorite,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,1000,g,2/6/23,900,600,400,g,,0,g,0,g,,,100,300,,,,,,,,,,,,,,,,,,,
Calcium nitrate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Calcium oxalate,0,g,0,0,0,0,g,0,0,0,0,g,400,g,,,,,150,250,g,0,,,,,0,250,g,undelivered,500,g,0,g,,,100,150,,,,,,,,,,,,,,,,,,,
Calcium oxide,2000,g,0,2000,0,2000,g,0,2000,1200,800,g,1000,g,,,,,200,800,g,0,,,,,200,600,g,,0,g,0,g,,,100,500,,,,,,,,,,,,,,,,,,,
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,,,,,,,,,,,,,,,,,,,
Calcium stearate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Calcium sulfate,70,g,0,70,70,0,g,0,0,0,0,g,400,g,,,,,0,400,g,0,,,,,150,250,g,,500,g,500,g,9/18/2023,DR: 2627,200,550,,,,,,,,,,,,,,,,,,,
Camphor,1250,g,0,1250,0,1250,g,0,1250,50,1200,g,100,g,,,,,100,0,g,250,250,g,2/6/23,900,250,0,g,,500,g,500,g,9/18/2023,DR: 2627,100,400,,,,,,,,,,,,,,,,,,,
Caffeine,2000,g,0,2000,0,2000,g,0,2000,0,2000,g,1000,g,,,,,100,900,g,0,,,,,150,750,g,,0,g,0,g,,,50,700,,,,,,,,,,,,,,,,,,,
Carageenan,75,g,0,75,0,75,g,0,75,0,75,g,50,g,,,,,0,50,g,0,,,,,30,20,g,undelivered,250,g,0,g,,,0,20,,,,,,,,,,,,,,,,,,,
Carbol Fuchsin,50,g,0,50,0,50,g,0,50,0,50,g,50,g,,,,,0,50,g,0,,,,,25,25,g,,0,g,0,g,,,0,25,,,,,,,,,,,,,,,,,,,
Carbon,500,g,0,500,0,500,g,0,500,410,90,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Carbopol,,,,,,,,,,,,,700,g,,,,,0,700,g,0,,,,,700,0,g,,0,g,0,g,,,0,300,,,,,,,,,,,,,,,,,,,
Cetyl alcohol,2000,g,0,2000,0,2000,g,0,2000,0,2000,g,1000,g,,,,,0,1000,g,0,,,,,250,750,g,,0,g,0,g,,,250,500,,,,,,,,,,,,,,,,,,,
Cetyl esters wax,,,,,,,,,,,,,200,g,,,,,200,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,80,,,,,,,,,,,,,,,,,,,
Cetostearyl alcohol,2000,g,0,2000,0,2000,g,0,2000,0,2000,g,800,g,,,,,0,800,g,0,,,,,150,650,g,,0,g,0,g,,,100,550,,,,,,,,,,,,,,,,,,,
Cetrimonium chloride,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Citric acid,3000,g,0,3000,0,3000,g,0,3000,1200,1800,g,1300,g,,,,,0,1300,g,0,,,,,700,600,g,,1000,g,1000,g,9/18/2023,DR: 2627,1200,400,,,,,,,,,,,,,,,,,,,
Chloral hydrate,20,g,0,20,0,20,g,0,20,20,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Chromium nitrate,0,g,0,0,0,0,g,250,250,0,250,g,100,g,,,,,0,100,g,0,,,,,100,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Cobalt (II) Chloride Hexahydrate,100,g,0,100,0,100,g,0,100,0,100,g,80,g,,,,,0,80,g,0,,,,,30,50,g,,0,g,0,g,,,0,50,,,,,,,,,,,,,,,,,,,
Cobalt nitrate,0,g,0,0,0,0,g,250,250,0,250,g,100,g,,,,,0,100,g,0,,,,,20,80,g,,0,g,0,g,,,10,70,,,,,,,,,,,,,,,,,,,
Cocamidopropyl Betaine,,,,,,,,,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,500,g,500,g,9/18/2023,DR: 2627,0,500,,,,,,,,,,,,,,,,,,,
Colchicine,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Congo red,225,g,0,225,0,225,g,0,225,0,225,g,100,g,,,,,0,100,g,0,,,,,20,80,g,,0,g,0,g,,,0,80,,,,,,,,,,,,,,,,,,,
Copper sulfate,1000,g,0,1000,0,1000,g,0,1000,500,500,g,300,g,,,,,300,0,g,0,,,,,0,0,g,,250,g,250,g,9/18/2023,DR: 2627,50,200,,,,,,,,,,,,,,,,,,,
Cornstarch,0,g,250,250,50,200,g,250,450,0,450,g,500,g,,,,,500,0,g,500,1000,g,2/6/23,900,200,800,g,,0,g,0,g,,,800,800,,,,,,,,,,,,,,,,,,,
Crystal violet,200,g,0,200,0,200,g,0,200,0,200,g,200,g,,,,,0,200,g,0,,,,,50,150,g,,0,g,0,g,,,0,150,,,,,,,,,,,,,,,,,,,
Cupric acetate,20,g,0,20,20,0,g,250,250,0,250,g,1600,g,,,,,1300,300,g,0,,,,,100,200,g,,0,g,0,g,,,0,200,,,,,,,,,,,,,,,,,,,
Cupric chloride,0,g,0,0,0,0,g,250,250,0,250,g,200,g,,,,,0,200,g,0,,,,,50,150,g,,250,g,250,g,10/9/2023,DR: 2724,100,300,,,,,,,,,,,,,,,,,,,
Dextrose powder,,,,,,,,,,,,,,,,,,,,,g,0,,,,,0,350,g,,0,g,0,g,,,150,200,,,,,,,,,,,,,,,,,,,
Diaminoethanetetra acetic acid (EDTA),500,g,0,500,0,500,g,0,500,0,500,g,250,g,,,,,0,250,g,0,250,g,05/08/23,1197,0,250,g,,0,g,0,g,,,100,150,,,,,,,,,,,,,,,,,,,
Dimethyl glycoxime,700,g,0,700,0,700,g,0,700,700,0,g,150,g,,,,,0,150,g,0,,,,,50,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Dinitrobenzoic acid,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Disodium EDTA,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,1000,g,2/6/23 -05/08/23,901/1197,750,250,g,,0,g,0,g,,,50,200,,,,,,,,,,,,,,,,,,,
DMDM Hydantoin,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Distilled monoglycerides,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
EDTA powder,30,g,0,30,10,20,g,0,20,20,0,g,0,g,,,,,0,0,g,250,500,g,02/06/23,901,400,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,,,,,,,,,,,,,,,,,,,
EMB (Eosin methylene blue) Agar,150,g,0,150,150,0,g,1000,1000,0,1000,g,500,g,,,,,250,250,g,0,,,,,0,250,g,,0,g,0,g,,,0,250,,,,,,,,,,,,,,,,,,,
Eosin yellow,400,g,0,400,0,400,g,0,400,0,400,g,225,g,,,,,0,225,g,0,,,,,0,225,g,,0,g,0,g,,,0,225,,,,,,,,,,,,,,,,,,,
Eriochrome black,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,25,25,g,02/06/23,901,25,0,g,,0,g,0,g,,,0,25,,,,,,,,,,,,,,,,,,,
FD & C Red # 3,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Ferric ammonium sulfate,300,g,0,300,0,300,g,0,300,250,50,g,50,g,,,,,50,0,g,250,1000,g,2/6/23 -05/08/23,901/1197,1000,0,g,,0,g,0,g,,,0,1500,,,,,,,,,,,,,,,,,,,
Ferric chloride,30,g,1000,1030,30,1000,g,1000,2000,1050,950,g,0,g,500,g,2-Sep,"SI 377, 374",250,250,g,0,,,,,150,100,g,,500,g,500,g,9/18/2023,DR: 2627,100,500,,,,,,,,,,,,,,,,,,,
Ferric hydroxide,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,undelivered,500,g,500,g,,,0,0,,,,,,,,,,,,,,,,,,,
Ferric Oxide,,,,,,,,,,,,,1250,g,,,,,1250,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Ferric sulfate,,,,,,,,,,,,,350,g,,,,,0,350,g,0,,,,,100,250,g,,0,g,0,g,,,0,300,,,,,,,,,,,,,,,,,,,
Ferrous sulfate,650,g,0,650,0,650,g,0,650,0,650,g,900,g,,,,,0,900,g,0,,,,,400,500,g,,0,g,0,g,,,100,400,,,,,,,,,,,,,,,,,,,
Ferrous sulfide,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Fructose,500,g,0,500,0,500,g,0,500,500,0,g,500,g,,,,,500,0,g,250,500,g,3/23/23,1082,100,400,g,,500,g,500,g,9/18/2023,DR: 2627,100,800,,,,,,,,,,,,,,,,,,,
Gelatin powder,1000,g,0,1000,0,1000,g,0,1000,0,1000,g,900,g,,,,,0,900,g,0,,,,,0,900,g,,0,g,0,g,,,200,700,,,,,,,,,,,,,,,,,,,
Glass wool,2000,g,0,2000,0,2000,g,0,2000,2000,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Glucose powder,1500,g,0,1500,0,1500,g,0,1500,300,1200,g,1250,g,,,,,250,1000,g,0,,,,,500,500,g,,0,g,0,g,,,100,400,,,,,,,,,,,,,,,,,,,
Glyceryl Stearate,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Hydrocyanic acid,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Hydroxylamine hydrochloride,550,g,0,550,0,550,g,0,550,200,350,g,150,g,,,,,0,150,g,0,,,,,50,100,g,,0,g,0,g,,,20,80,,,,,,,,,,,,,,,,,,,
Hydroxynapthol blue,,,,,,0,g,0,0,0,0,g,0,g,25,g,3-Aug,SI 20215,10,15,g,0,,,,,0,15,g,,0,g,0,g,,,0,15,,,,,,,,,,,,,,,,,,,
