OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Denatured alcohol,2,gal,2,4,2,2,gal,2,4,2,2,gal,0,gal,2,gal,10/17/2022,SI 20538,1,1,gal,0,0,gal,,,0,1,gal,out of sctock,0,gal,0,gal,,,1,0,gal,2,2,gal,2/29/2024,DR:300,0,1,gal,0,0,gal,,,1,0,gal,3,gal
Dibutylamine,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,500,0,ml,,,0,0,ml,,0,ml,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,100,ml 
Dichloromethane,,,,,,0,gal,0,0,0,0,gal,0,gal,,,,,0,0,gal,2,0,gal,,,0,0,gal,undelivered,2500,gal,0,gal,,,0,0,gal,2500,0,ml,,,0,0,ml,2.5,0,L,,,0,0,L,2.5,L
Diethyl ether,0,ml,0,0,0,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,2500,0,ml,,,0,0,ml,undelivered,2500,ml,0,ml,,,0,0,ml,2500,0,ml,,,0,0,ml,2.5,0,L,,,0,0,ml,2.5,ml 
Dinitrophenylhydrazine (DNPH) reagent,,,,,,,,0,0,0,0,ml,0,ml,,,,,0,0,ml,250,500,ml,1/30/23-02/06/23,71443/898,200,300,ml,,0,ml,0,ml,,,300,0,ml,500,500,ml,1/9/2024,DR:2113,0,500,ml,0,0,ml,,,0,500,ml,0,ml 
Eosin Yellow,,,,,,,,,,,,,,,,,,,,0,ml,0,0,ml,,,0,100,ml,,0,ml,0,ml,,,0,100,ml,0,0,ml,,,0,100,ml,0,0,ml,,,100,0,ml,100,ml 
Ether,0,ml,0,0,0,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,2500,0,ml,,,0,0,ml,undelivered,2500,ml,0,ml,,,0,0,ml,2500,0,ml,,,0,0,ml,1000,0,ml,,,0,0,ml,2000,ml 
Ethyl acetate,3000,ml,0,3000,0,3000,ml,0,3000,3000,0,ml,1500,ml,,,,,0,1500,ml,0,0,ml,,,500,1000,ml,,2500,ml,1000,ml,8/30/2023,DR: 2480,500,1500,ml,1000,0,ml,,,0,0,L,3,3,L,5/31/2024,DR:25153,3,0,L,3,L
Ethyl alcohol 95%,3,gal,3,6,6,0,gal,5,5,5,0,gal,0,gal,7,gal,"8/3/2022, 10/17/2022","SI 20215, 20538",6,1,gal,4,6,gal,1/30/23-02/06/23-6/19/23,71443/898/2251,3,4,gal,,3,gal,3,gal,8/30/2023,DR: 2480,7,0,gal,3,3,gal,1/12/2024,DI:2114/SI:2006,3,0,gal,3,3,gal,5/21/2024,DR: 25215 SI: 23073,3,0,gal,3,gal
Eucalyptus oil,1500,ml,0,1500,100,1400,ml,0,1400,100,1300,ml,0,ml,,,,,0,0,ml,2000,2000,ml,1/30/23-2/6/23,71443/899,600,1400,ml,,0,ml,0,ml,,,400,1000,ml,0,0,ml,,,500,1500,ml,0,0,ml,,,500,1000,ml,0,ml 
